time,dateTimeLocalFetch,timestamp,timezone,locationId,province_pcode,province_en,province_lo,district_pcode,district_en,district_lo,locationName,publicLocationName,latitude,longitude,pm01,pm02,pm10,pm003Count,atmp,rhum,rco2,tvoc,tvocIndex,noxIndex,heatindex,publicContributorName,publicPlaceUrl
0000,2025-12-24 00:00:05.271000+07:00,2025-12-23 16:59:15+00:00,Asia/Bangkok,84195,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0107,Hatxayfong,ຫາດຊາຍຟອງ,"Salakham Secondary School - Hadxaifong District, Vientiane Capital","Salakham Secondary School - Hadxaifong District, Vientiane Capital",17.880817,102.648658,45.08,66.25,76.08,3700.17,25.52,58.55,,152.54291,157.0,1.0,25.7,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-24 00:00:05.271000+07:00,2025-12-23 16:59:30+00:00,Asia/Bangkok,90402,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0106,Xaithani,ໄຊທານີ,"Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ","Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ",18.035248,102.63994,46.58,70.0,76.75,3891.83,26.26,52.13,,255.3441,238.17,1.0,26.5,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-24 00:00:05.271000+07:00,2025-12-23 17:00:01+00:00,Asia/Bangkok,90405,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0109,Pakngum,ປາກງື່ມ,Mayparkngum - Vientiane Capital,Mayparkngum - Vientiane Capital,18.185205,103.05687,6.5,18.0,18.17,661.08,25.45,52.39,,52.498493,54.0,1.0,25.4,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-24 00:00:05.271000+07:00,2025-12-23 17:00:00+00:00,Asia/Bangkok,90410,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0105,Naxaythong,ນາຊາຍທອງ,"Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ","Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ",18.068595,102.535866,36.67,53.17,67.0,3077.17,25.85,52.37,,413.98764,327.5,1.0,25.9,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-24 00:00:05.271000+07:00,2025-12-23 16:59:53+00:00,Asia/Bangkok,90411,LA02,Phongsali,ຜົ້ງສາລີ,LA0201,Phongsali,ຜົ້ງສາລີ,d83bda1bc98c Phongsaly - Phongsaly,d83bda1bc98c Phongsaly - Phongsaly,21.695,102.085,5.58,8.58,9.17,529.58,20.55,49.98,,70.8786,75.0,1.0,19.4,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-24 00:00:05.271000+07:00,2025-12-23 16:59:08+00:00,Asia/Bangkok,90412,LA02,Phongsali,ຜົ້ງສາລີ,LA0202,Mai,ໃໝ່,May - Phongsaly,May - Phongsaly,21.172583,102.722705,5.58,11.0,15.25,590.0,21.69,57.82,,44.88422,45.0,1.0,20.6,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-24 00:00:05.271000+07:00,2025-12-23 16:59:51+00:00,Asia/Bangkok,90413,LA02,Phongsali,ຜົ້ງສາລີ,LA0203,Khoua,ຂວາ,"Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ","Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ",21.078865,102.505833,7.0,15.83,18.75,690.33,22.77,58.28,,55.931953,58.0,1.0,21.7,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-24 00:00:05.271000+07:00,2025-12-23 16:59:40+00:00,Asia/Bangkok,90414,LA02,Phongsali,ຜົ້ງສາລີ,LA0204,Samphan,ສຳພັນ,"Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ","Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ",21.346014,102.349329,5.92,13.33,16.75,654.92,21.15,61.46,,45.722794,46.0,1.0,20.0,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-24 00:00:05.271000+07:00,2025-12-23 16:59:55+00:00,Asia/Bangkok,90421,LA03,Louangnamtha,ຫຼວງນ້ຳທາ,LA0302,Sing,ສິງ,"Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ","Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ",21.190223,101.144937,24.83,34.92,42.75,1558.67,20.9,51.66,,57.660328,60.0,1.0,19.4,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-24 00:00:05.271000+07:00,2025-12-23 17:00:03+00:00,Asia/Bangkok,90422,LA03,Louangnamtha,ຫຼວງນ້ຳທາ,LA0305,Naleh,ນາແລ,Nalae - Louangnamtha,Nalae - Louangnamtha,20.536617,101.447461,7.83,17.92,21.08,698.67,22.94,57.28,,,,,22.2,UNICEF ,https://www.unicef.org/laos/
