index,locationId,locationName,publicLocationName,latitude,longitude,currentTime,isDaytime,relativeHumidity,uvIndex,thunderstormProbability,cloudCover,timeZone_id,weatherCondition_iconBaseUri,weatherCondition_description_text,weatherCondition_description_languageCode,weatherCondition_type,temperature_degrees,temperature_unit,feelsLikeTemperature_degrees,feelsLikeTemperature_unit,dewPoint_degrees,dewPoint_unit,heatIndex_degrees,heatIndex_unit,windChill_degrees,windChill_unit,precipitation_probability_percent,precipitation_probability_type,precipitation_snowQpf_quantity,precipitation_snowQpf_unit,precipitation_qpf_quantity,precipitation_qpf_unit,airPressure_meanSeaLevelMillibars,wind_direction_degrees,wind_direction_cardinal,wind_speed_value,wind_speed_unit,wind_gust_value,wind_gust_unit,visibility_distance,visibility_unit,currentConditionsHistory_temperatureChange_degrees,currentConditionsHistory_temperatureChange_unit,currentConditionsHistory_maxTemperature_degrees,currentConditionsHistory_maxTemperature_unit,currentConditionsHistory_minTemperature_degrees,currentConditionsHistory_minTemperature_unit,currentConditionsHistory_snowQpf_quantity,currentConditionsHistory_snowQpf_unit,currentConditionsHistory_qpf_quantity,currentConditionsHistory_qpf_unit,error_code,error_message,error_status,dateTimeLocalFetch,time
1093,90402,"Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ","Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ",18.035248,102.63994,2025-06-17T17:00:12.611595397Z,0.0,79.0,0.0,40.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,26.0,CELSIUS,28.4,CELSIUS,22.1,CELSIUS,28.4,CELSIUS,26.0,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.0,MILLIMETERS,1008.4,315.0,NORTHWEST,3.0,KILOMETERS_PER_HOUR,5.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,-1.7,CELSIUS,34.1,CELSIUS,24.4,CELSIUS,0.0,MILLIMETERS,2.9822,MILLIMETERS,,,,2025-06-18 00:00:08.466000+07:00,0000
1094,90410,"Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ","Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ",18.068595,102.535866,2025-06-17T17:00:13.875983593Z,0.0,79.0,0.0,40.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,26.1,CELSIUS,28.6,CELSIUS,22.2,CELSIUS,28.6,CELSIUS,26.1,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.0,MILLIMETERS,1008.38,315.0,NORTHWEST,3.0,KILOMETERS_PER_HOUR,5.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,-1.7,CELSIUS,33.9,CELSIUS,24.1,CELSIUS,0.0,MILLIMETERS,3.2362,MILLIMETERS,,,,2025-06-18 00:00:08.466000+07:00,0000
1095,90411,d83bda1bc98c Phongsaly - Phongsaly,d83bda1bc98c Phongsaly - Phongsaly,21.695,102.085,2025-06-17T17:00:15.111284200Z,0.0,97.0,0.0,10.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,21.5,CELSIUS,24.3,CELSIUS,21.0,CELSIUS,24.3,CELSIUS,21.5,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.17270000000000002,MILLIMETERS,1009.04,270.0,WEST,0.0,KILOMETERS_PER_HOUR,0.0,KILOMETERS_PER_HOUR,8.0,KILOMETERS,0.2,CELSIUS,26.6,CELSIUS,20.3,CELSIUS,0.0,MILLIMETERS,15.7404,MILLIMETERS,,,,2025-06-18 00:00:08.466000+07:00,0000
1096,90412,May - Phongsaly,May - Phongsaly,21.172583,102.722705,2025-06-17T17:00:16.419146319Z,0.0,85.0,0.0,0.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,21.1,CELSIUS,23.5,CELSIUS,18.5,CELSIUS,23.5,CELSIUS,21.1,CELSIUS,10.0,RAIN,0.0,MILLIMETERS,0.0,MILLIMETERS,1009.75,215.0,SOUTHWEST,6.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,0.30000000000000004,CELSIUS,27.2,CELSIUS,19.9,CELSIUS,0.0,MILLIMETERS,11.1098,MILLIMETERS,,,,2025-06-18 00:00:08.466000+07:00,0000
1097,90413,"Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ","Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ",21.078865,102.505833,2025-06-17T17:00:17.731992572Z,0.0,90.0,0.0,10.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,20.3,CELSIUS,22.8,CELSIUS,18.6,CELSIUS,22.8,CELSIUS,20.3,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.020300000000000002,MILLIMETERS,1009.3,225.0,SOUTHWEST,5.0,KILOMETERS_PER_HOUR,6.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,-0.2,CELSIUS,27.0,CELSIUS,19.8,CELSIUS,0.0,MILLIMETERS,4.1303,MILLIMETERS,,,,2025-06-18 00:00:08.466000+07:00,0000
1098,90414,"Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ","Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ",21.346014,102.349329,2025-06-17T17:00:18.996274664Z,0.0,100.0,0.0,10.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,11.6,CELSIUS,16.3,CELSIUS,11.6,CELSIUS,16.3,CELSIUS,11.6,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.09910000000000001,MILLIMETERS,1009.86,215.0,SOUTHWEST,6.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS_PER_HOUR,5.0,KILOMETERS,-0.4,CELSIUS,16.0,CELSIUS,10.8,CELSIUS,0.0,MILLIMETERS,12.1009,MILLIMETERS,,,,2025-06-18 00:00:08.466000+07:00,0000
1099,90419,"Long Secondary School - Long, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງລອງ","Long Secondary School - Long, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງລອງ",20.962029,100.82109,2025-06-17T17:00:20.268449555Z,0.0,95.0,0.0,10.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,22.6,CELSIUS,25.0,CELSIUS,21.4,CELSIUS,25.0,CELSIUS,22.6,CELSIUS,25.0,RAIN,0.0,MILLIMETERS,0.20070000000000002,MILLIMETERS,1009.36,203.0,SOUTH_SOUTHWEST,6.0,KILOMETERS_PER_HOUR,11.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS,-0.1,CELSIUS,27.2,CELSIUS,21.9,CELSIUS,0.0,MILLIMETERS,6.7084,MILLIMETERS,,,,2025-06-18 00:00:08.466000+07:00,0000
1100,90421,"Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ","Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ",21.190223,101.144937,2025-06-17T17:00:21.529877651Z,0.0,95.0,0.0,10.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,22.6,CELSIUS,25.0,CELSIUS,21.4,CELSIUS,25.0,CELSIUS,22.6,CELSIUS,25.0,RAIN,0.0,MILLIMETERS,0.20070000000000002,MILLIMETERS,1009.36,203.0,SOUTH_SOUTHWEST,6.0,KILOMETERS_PER_HOUR,11.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS,-0.1,CELSIUS,27.2,CELSIUS,21.9,CELSIUS,0.0,MILLIMETERS,6.7084,MILLIMETERS,,,,2025-06-18 00:00:08.466000+07:00,0000
1101,90424,"La Secondary School - La, Oudomxai ມັດທະຍົມສົມບູນ ເມືອງຫລາ","La Secondary School - La, Oudomxai ມັດທະຍົມສົມບູນ ເມືອງຫລາ",20.870865,102.110246,2025-06-17T17:00:22.854952754Z,0.0,90.0,0.0,10.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,21.0,CELSIUS,23.4,CELSIUS,19.2,CELSIUS,23.4,CELSIUS,21.0,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.020300000000000002,MILLIMETERS,1009.3,225.0,SOUTHWEST,5.0,KILOMETERS_PER_HOUR,6.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,-0.2,CELSIUS,27.6,CELSIUS,20.5,CELSIUS,0.0,MILLIMETERS,4.1303,MILLIMETERS,,,,2025-06-18 00:00:08.466000+07:00,0000
1102,90425,"Namor Secondary School - Namor, Oudomxay ມັດທະຍົມ ເມືອງນາໝໍ້","Namor Secondary School - Namor, Oudomxay ມັດທະຍົມ ເມືອງນາໝໍ້",20.914061,101.764456,2025-06-17T17:00:24.123622744Z,0.0,95.0,0.0,10.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,21.1,CELSIUS,23.5,CELSIUS,20.3,CELSIUS,23.5,CELSIUS,21.1,CELSIUS,45.0,RAIN,0.0,MILLIMETERS,0.8661000000000001,MILLIMETERS,1008.97,203.0,SOUTH_SOUTHWEST,6.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS_PER_HOUR,10.0,KILOMETERS,-0.1,CELSIUS,27.9,CELSIUS,20.8,CELSIUS,0.0,MILLIMETERS,11.143,MILLIMETERS,,,,2025-06-18 00:00:08.466000+07:00,0000
